,Creditability,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Sex...Marital.Status,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker
497,0,3,6,2,3,2108,1,3,2,3,1,2,1,29,2,1,1,1,1,1,1
756,1,1,15,1,4,950,1,4,4,2,1,3,3,33,2,1,2,1,2,1,1
580,1,1,42,2,3,7174,4,3,4,1,1,3,3,30,2,2,1,1,1,2,1
833,1,3,36,3,4,7980,4,1,4,2,1,4,3,27,2,1,2,1,1,2,1
602,0,3,24,3,2,2028,1,3,2,2,1,2,2,30,2,2,2,1,1,1,1
734,0,1,15,2,4,2511,1,1,1,1,1,4,3,23,2,1,1,1,1,1,1
303,0,3,24,2,2,3749,1,1,2,1,1,4,3,26,2,2,1,1,1,1,1
923,1,1,24,2,4,1442,1,3,4,1,1,4,3,23,2,1,2,1,1,1,1
677,0,1,9,3,3,1138,1,2,4,2,1,4,1,25,2,2,2,1,1,1,1
124,0,3,15,3,3,1459,1,2,4,1,1,2,3,43,2,2,1,1,1,1,1
942,1,2,12,2,4,888,1,4,4,2,1,4,3,41,1,2,1,1,2,1,1
8,0,1,6,3,4,1361,1,1,2,2,1,4,1,40,2,2,1,1,2,1,2
764,1,2,60,2,3,6288,1,2,4,2,1,4,4,42,2,3,1,1,1,1,1
60,0,3,36,2,4,3079,4,2,4,2,1,4,1,36,2,2,1,1,1,1,1
462,0,2,18,3,2,7374,1,1,4,2,1,4,2,40,1,2,2,1,1,2,1
674,0,2,8,2,3,760,1,3,4,1,2,2,1,44,2,2,1,1,1,1,1
498,0,3,24,3,1,4042,4,3,3,2,1,4,2,43,2,2,2,1,1,2,1
91,0,2,12,3,4,1995,2,1,4,2,1,1,3,27,2,2,1,1,1,1,1
447,0,3,6,3,3,700,4,4,4,2,1,4,4,36,2,3,2,1,1,1,1
195,0,3,12,2,3,1262,1,2,3,2,1,2,3,25,2,2,1,1,1,1,1
769,1,2,9,1,4,1437,2,3,2,2,1,3,4,29,2,2,1,1,1,1,1
17,0,1,11,3,4,3939,1,2,1,2,1,2,1,40,2,2,2,1,2,1,1
469,0,2,36,2,3,2323,1,3,4,2,1,4,3,24,2,1,1,1,1,1,1
139,0,2,6,3,4,932,4,3,1,1,1,3,2,39,2,2,2,1,1,1,1
561,0,3,20,3,4,3485,4,1,2,1,1,4,1,44,2,2,2,1,1,2,1
145,0,3,36,2,3,2394,4,2,4,1,1,4,3,25,2,2,1,1,1,1,1
575,0,2,36,2,1,6948,1,2,2,2,1,2,3,35,2,1,1,1,1,2,1
831,1,2,36,1,3,3804,1,2,4,1,1,1,3,42,2,2,1,1,1,2,1
428,1,2,9,3,3,1501,1,4,2,1,1,3,3,34,2,2,2,1,1,2,1
259,0,1,10,2,3,2315,1,4,3,2,1,4,1,52,2,2,1,1,1,1,1
664,0,2,6,2,3,1068,1,4,4,2,1,4,3,28,2,2,1,1,2,1,1
617,0,1,30,3,1,10623,1,4,3,2,1,4,4,38,2,3,2,1,2,2,1
527,0,1,12,2,3,701,1,2,4,3,1,2,1,40,2,2,1,1,1,1,1
1,0,1,18,3,2,1049,1,1,4,1,1,4,2,21,2,1,1,1,1,1,1
247,0,3,18,3,3,1800,1,2,4,2,1,2,3,24,2,2,2,1,1,1,1
134,0,3,18,2,3,1453,1,1,3,1,1,1,1,26,2,2,1,1,1,1,1
967,1,3,24,3,4,8648,1,1,2,2,1,2,3,27,1,2,2,1,1,2,1
953,1,2,21,2,4,1188,1,4,2,1,1,4,2,39,2,2,1,1,2,1,1
85,0,3,15,3,2,1520,4,4,4,2,1,4,2,63,2,2,1,1,1,1,1
31,0,3,30,3,3,3017,1,4,4,2,1,4,2,47,2,2,1,1,1,1,1
56,0,1,12,3,3,385,1,3,4,1,1,3,1,58,2,2,2,1,1,2,1
921,1,1,24,1,2,3552,1,3,3,2,1,4,3,27,1,2,1,1,1,1,1
897,1,3,21,3,4,2580,3,1,4,2,1,2,1,41,1,2,1,1,2,1,1
694,0,3,15,3,1,3594,1,1,1,1,1,2,2,46,2,2,2,1,1,1,1
530,0,3,18,3,3,2238,1,2,2,1,1,1,3,25,2,2,2,1,1,1,1
89,0,1,6,3,4,666,3,3,3,1,1,4,1,39,2,2,2,1,1,2,1
882,1,3,9,1,3,1337,1,1,4,2,1,2,3,34,2,2,2,1,1,2,1
331,0,3,24,3,3,1927,4,2,3,1,1,2,3,33,2,2,2,1,1,2,1
998,1,3,21,3,4,12680,4,4,4,2,1,4,4,30,2,3,1,1,1,2,1
749,0,2,9,2,3,1199,1,3,4,1,1,4,2,67,2,2,2,1,1,2,1
